stage,id,question,category,lexical_rank,dense_rank,hybrid_rank,reranked_rank,requires_human_label_review,mode,correctness,faithfulness,completeness,unsupported_claims,citation_precision,judge_reason,requires_human_scientific_review,source_rank,caption_coverage,citation_quality,unsupported_visual_inferences
image_qa,doc_0010_12273d2ffc1c_p007_f01,How does the schematic connect focused-ultrasound hyperthermia with thermosensitive-liposome drug transport?,unsupported_visual_inference,,,,,,text_only,,,,,,"The answer includes specific visual details (42°C and Krel) that are not present in the provided caption or evidence. In a text-only task with no image context, these are counted as unsupported visual inferences.",True,2,2,2,2
image_qa,doc_0115_03129e2fda6b_p026_f01,What does the figure show about temperature evolution and spatial distribution under mild hyperthermia?,source_retrieval_failure,,,,,,basic_metadata,,,,,,The answer correctly uses the caption's context of mild hyperthermia and incorporates specific temporal dynamics (80% peak in 5 mins) from the retrieved evidence.,True,,2,2,0
image_qa,doc_0115_03129e2fda6b_p026_f01,What does the figure show about temperature evolution and spatial distribution under mild hyperthermia?,source_retrieval_failure,,,,,,vision_summary,,,,,,"The answer correctly identifies the purpose of mild hyperthermia (drug/gene delivery) and the necessity of monitoring as described in the literature, while acknowledging the limitations of the uncalibrated image data.",True,,2,2,0
image_qa,doc_0115_03129e2fda6b_p027_f01,"Which temperature and tissue-property maps are compared, and why are these properties relevant to thermal modelling?",caption_coverage_below_maximum,,,,,,basic_metadata,,,,,,"The answer fails to explicitly list the specific tissue-property maps (specific heat capacity, perfusion, and thermal conductivity) mentioned in the figure caption, focusing instead on the general model comparison described in the text.",True,1,1,2,0
image_qa,doc_0115_03129e2fda6b_p027_f01,"Which temperature and tissue-property maps are compared, and why are these properties relevant to thermal modelling?",caption_coverage_below_maximum,,,,,,text_only,,,,,,"The answer does not mention the specific maps (specific heat capacity, perfusion, thermal conductivity) identified in the figure caption, although it correctly identifies the models being compared from the retrieved text.",True,1,1,2,0
image_qa,doc_0115_03129e2fda6b_p030_f01,How do temperature-dependent acoustic properties affect the simulated temperature distribution and time curve?,unsupported_visual_inference,,,,,,basic_metadata,,,,,,"The answer includes specific quantitative visual details (temperature values like 24-26°C and 18°C) that are not present in the figure caption or retrieved evidence, and no vision summary was provided for this task to support these observations.",True,1,2,2,1
image_qa,doc_0115_03129e2fda6b_p030_f01,How do temperature-dependent acoustic properties affect the simulated temperature distribution and time curve?,unsupported_visual_inference,,,,,,text_only,,,,,,"The answer includes an 'Image observations' section with specific quantitative data in a text-only task, which is a structural error and an unsupported visual inference given the lack of image context.",True,1,2,2,1
image_qa,doc_0116_be106c5827df_p015_f01,"What are the principal signal-generation, amplification, acquisition and computing components in the thermoacoustic monitoring system?",source_retrieval_failure,,,,,,text_only,,,,,,"The answer completely ignores the hardware components listed in the figure caption. Instead, it discusses general thermoacoustic sensor principles from older, unrelated literature (2004) found in the retrieved evidence, failing to address the specific system described in the prompt.",True,,0,1,0
image_qa,doc_0116_be106c5827df_p015_f01,"What are the principal signal-generation, amplification, acquisition and computing components in the thermoacoustic monitoring system?",caption_coverage_below_maximum,,,,,,text_only,,,,,,"The answer completely ignores the hardware components listed in the figure caption. Instead, it discusses general thermoacoustic sensor principles from older, unrelated literature (2004) found in the retrieved evidence, failing to address the specific system described in the prompt.",True,,0,1,0
image_qa,doc_0116_be106c5827df_p015_f01,"What are the principal signal-generation, amplification, acquisition and computing components in the thermoacoustic monitoring system?",citation_quality_below_maximum,,,,,,text_only,,,,,,"The answer completely ignores the hardware components listed in the figure caption. Instead, it discusses general thermoacoustic sensor principles from older, unrelated literature (2004) found in the retrieved evidence, failing to address the specific system described in the prompt.",True,,0,1,0
image_qa,doc_0116_be106c5827df_p018_f01,"How are the ablation-zone estimates from thermoacoustic monitoring, ultrasound tomography and photographs compared in this figure?",citation_quality_below_maximum,,,,,,basic_metadata,,,,,,"The answer accurately describes the comparison methods (segmentation, ellipse fitting, and plotting diameters) mentioned in the caption. However, it mentions 'manufacturer specifications' which are not present in the provided caption or retrieved evidence chunks, and the citation [1] refers to a chunk about signal scaling rather than the comparison figure.",True,1,2,1,0
image_qa,doc_0116_be106c5827df_p018_f01,"How are the ablation-zone estimates from thermoacoustic monitoring, ultrasound tomography and photographs compared in this figure?",citation_quality_below_maximum,,,,,,text_only,,,,,,"The answer correctly utilizes the caption to explain the comparison of ablation zones. Like the basic_metadata version, it includes 'manufacturer specifications' which are not in the provided text, and the citation is slightly off-target relative to the specific figure content.",True,1,2,1,0
image_qa,doc_0116_be106c5827df_p018_f01,"How are the ablation-zone estimates from thermoacoustic monitoring, ultrasound tomography and photographs compared in this figure?",caption_coverage_below_maximum,,,,,,vision_summary,,,,,,"The answer fails to provide the requested information, claiming that the retrieved text and image context do not provide details, despite the figure caption explicitly describing the rows, columns, and comparison methods (diameters, ellipse fitting) shown in the figure.",True,1,0,1,0
image_qa,doc_0116_be106c5827df_p018_f01,"How are the ablation-zone estimates from thermoacoustic monitoring, ultrasound tomography and photographs compared in this figure?",citation_quality_below_maximum,,,,,,vision_summary,,,,,,"The answer fails to provide the requested information, claiming that the retrieved text and image context do not provide details, despite the figure caption explicitly describing the rows, columns, and comparison methods (diameters, ellipse fitting) shown in the figure.",True,1,0,1,0
image_qa,doc_0156_5f9a68461daf_p010_f01,What spatial change in the PRFS thermal maps is visible between the early and later HIFU hyperthermia time points?,caption_coverage_below_maximum,,,,,,basic_metadata,,,,,,"The answer correctly identifies spatial expansion, which is a logical inference from the time points described, but it fails to mention the specific 'drift' of the thermal buildup along the fluid flow direction that is explicitly highlighted in the figure caption's zoom inset description.",True,2,1,2,0
image_qa,doc_0156_5f9a68461daf_p010_f01,What spatial change in the PRFS thermal maps is visible between the early and later HIFU hyperthermia time points?,caption_coverage_below_maximum,,,,,,text_only,,,,,,The answer uses the retrieved evidence well to describe the general process but misses the specific detail about thermal drift mentioned in the caption.,True,1,1,2,0
image_qa,doc_0156_5f9a68461daf_p010_f01,What spatial change in the PRFS thermal maps is visible between the early and later HIFU hyperthermia time points?,caption_coverage_below_maximum,,,,,,vision_summary,,,,,,"The answer provides a good description of the spatial expansion visible in the maps and supported by the vision summary, but again omits the 'drift' mentioned in the caption.",True,1,1,2,0
image_qa,doc_0161_6080a6bc3d5b_p006_f01,Which components and anatomical target are represented in this schematic of HIFU breast-tumour ablation?,caption_coverage_below_maximum,,,,,,basic_metadata,,,,,,"The answer is very generic. While it correctly identifies the topic (breast tumor ablation) from the caption and evidence, it fails to list the specific components (transducer, beam, skin, fat, etc.) requested by the question.",True,1,1,1,0
image_qa,doc_0161_6080a6bc3d5b_p006_f01,Which components and anatomical target are represented in this schematic of HIFU breast-tumour ablation?,citation_quality_below_maximum,,,,,,basic_metadata,,,,,,"The answer is very generic. While it correctly identifies the topic (breast tumor ablation) from the caption and evidence, it fails to list the specific components (transducer, beam, skin, fat, etc.) requested by the question.",True,1,1,1,0
image_qa,doc_0161_6080a6bc3d5b_p006_f01,Which components and anatomical target are represented in this schematic of HIFU breast-tumour ablation?,caption_coverage_below_maximum,,,,,,text_only,,,,,,"The answer accurately summarizes the text evidence regarding the numerical procedure and anatomical phantom, though it remains somewhat general regarding the specific components shown in the schematic.",True,2,1,2,0
